SiteName,Site#_JS,Site#_CER,Plot#_JS,Habitat,TagID,Species,Set#,BagLocation,InitialWt_Air,SpConvFactor,InitialDeploy_Date,InitialWt_Oven,InitialNotes,HarvestNo,Harvest_Date,HarvestWt_Oven,HarvestNotes,PropInitMass,Days,Years,SitexHabitatxSp,ID_sihasp,ID
S Peterson Marsh,1,1,1&2,wet,7861,AMY,9,8,3.034,0.956650246,11/27/10,2.902,,5,10/2/12,1.765,had to remove sand,0.608101319,675,1.849315068,1wetAMY,8,2
S Peterson Marsh,1,1,1&2,wet,7862,AMY,9,8,3.096,0.956650246,11/27/10,2.962,,6,9/20/13,1.101,,0.371734766,1028,2.816438356,1wetAMY,8,2
Cattle Pond,2,2,3&4,wet,7826,AMY,3,10,3.027,0.956650246,11/27/10,2.896,,1,4/29/11,2.1622,,0.746672668,153,0.419178082,2wetAMY,9,2
Cattle Pond,2,2,3&4,wet,7821,AMY,3,10,3.04,0.956650246,11/27/10,2.908,,2,5/26/11,1.9629,,0.674949692,180,0.493150685,2wetAMY,9,2
Cattle Pond,2,2,3&4,wet,7822,AMY,3,10,3.041,0.956650246,11/27/10,2.909,,3,8/3/11,1.731,,0.595014378,249,0.682191781,2wetAMY,9,2
Cattle Pond,2,2,3&4,wet,7825,AMY,3,10,3.006,0.956650246,11/27/10,2.876,,4,9/27/11,1.477,,0.513615748,304,0.832876712,2wetAMY,9,2
Cattle Pond,2,2,3&4,wet,7824,AMY,3,10,3.073,0.956650246,11/27/10,2.94,,5,10/2/12,1.084,,0.368734297,675,1.849315068,2wetAMY,9,2
Cattle Pond,2,2,3&4,wet,7823,AMY,3,10,3.057,0.956650246,11/27/10,2.924,,6,9/20/13,1.157,,0.395625916,1028,2.816438356,2wetAMY,9,2
N Peterson Marsh,3,3,5&6,wet,7845,AMY,7,2,3.012,0.956650246,11/27/10,2.881,,1,4/29/11,2.1243,,0.737237969,153,0.419178082,3wetAMY,10,2
N Peterson Marsh,3,3,5&6,wet,7850,AMY,7,2,3.077,0.956650246,11/27/10,2.944,,2,5/26/11,2.1282,,0.722989109,180,0.493150685,3wetAMY,10,2
N Peterson Marsh,3,3,5&6,wet,7846,AMY,7,2,3.094,0.956650246,11/27/10,2.96,,3,8/3/11,1.572,,0.531103355,249,0.682191781,3wetAMY,10,2
N Peterson Marsh,3,3,5&6,wet,7847,AMY,7,2,3.047,0.956650246,11/27/10,2.915,,4,9/27/11,1.118,,0.383544855,304,0.832876712,3wetAMY,10,2
N Peterson Marsh,3,3,5&6,wet,7849,AMY,7,2,3.044,0.956650246,11/27/10,2.912,,5,10/2/12,1.065,,0.365722578,675,1.849315068,3wetAMY,10,2
N Peterson Marsh,3,3,5&6,wet,7848,AMY,7,2,3.027,0.956650246,11/27/10,2.896,,6,9/20/13,1.094,lots of roots,0.377791092,1028,2.816438356,3wetAMY,10,2
Lawrence Strip,4,5,9,wet,7490,AMY,2,7,3.012,0.956650246,11/27/10,2.881,,1,4/29/11,1.951,,0.677094232,153,0.419178082,5wetAMY,11,2
Lawrence Strip,4,5,9,wet,7495,AMY,2,7,3.091,0.956650246,11/27/10,2.957,,2,5/26/11,2.0008,,0.676630369,180,0.493150685,5wetAMY,11,2
Lawrence Strip,4,5,9,wet,7494,AMY,2,7,3.07,0.956650246,11/27/10,2.937,,3,8/1/11,1.82,,0.619697615,247,0.676712329,5wetAMY,11,2
Lawrence Strip,4,5,9,wet,7491,AMY,2,7,3.007,0.956650246,11/27/10,2.877,,4,9/27/11,1.608,,0.558984066,304,0.832876712,5wetAMY,11,2
Lawrence Strip,4,5,9,wet,7493,AMY,2,7,3.037,0.956650246,11/27/10,2.905,,5,10/1/12,1.399,,0.481525992,674,1.846575342,5wetAMY,11,2
Lawrence Strip,4,5,9,wet,7492,AMY,2,7,3.029,0.956650246,11/27/10,2.898,,6,9/20/13,1.069,,0.368914091,1028,2.816438356,5wetAMY,11,2
Mari Hill,8,10,19&20,dry,1025,BEB,5,7,3.048,0.921439936,11/30/10,2.809,,1,4/29/11,2.4742,,0.880953142,150,0.410958904,10dryBEB,12,3
Mari Hill,8,10,19&20,dry,1030,BEB,5,7,3.022,0.921439936,11/30/10,2.785,,2,5/26/11,2.2319,,0.801517928,177,0.484931507,10dryBEB,12,3
Mari Hill,8,10,19&20,dry,1029,BEB,5,7,3.041,0.921439936,11/30/10,2.802,,3,8/1/11,1.754,,0.62595936,244,0.668493151,10dryBEB,12,3
Mari Hill,8,10,19&20,dry,1026,BEB,5,7,3.048,0.921439936,11/30/10,2.809,,4,9/27/11,1.69,,0.601734221,301,0.824657534,10dryBEB,12,3
Mari Hill,8,10,19&20,dry,1028,BEB,5,7,3.032,0.921439936,11/30/10,2.794,,5,9/30/12,1.253,,0.448492147,670,1.835616438,10dryBEB,12,3
Mari Hill,8,10,19&20,dry,1027,BEB,5,7,3.001,0.921439936,11/30/10,2.765,,6,9/20/13,1.675,,0.605733768,1025,2.808219178,10dryBEB,12,3
N Peterson Marsh,3,3,5&6,dry,1048,BEB,8,9,3.005,0.921439936,11/27/10,2.769,,1,4/29/11,2.3151,,0.836100046,153,0.419178082,3dryBEB,13,3
N Peterson Marsh,3,3,5&6,dry,1043,BEB,8,9,3.004,0.921439936,11/27/10,2.768,,2,5/26/11,2.1707,,0.78421085,180,0.493150685,3dryBEB,13,3
N Peterson Marsh,3,3,5&6,dry,1047,BEB,8,9,3.083,0.921439936,11/27/10,2.841,,3,8/3/11,1.788,,0.629400319,249,0.682191781,3dryBEB,13,3
N Peterson Marsh,3,3,5&6,dry,1046,BEB,8,9,3.006,0.921439936,11/27/10,2.77,,4,9/27/11,1.753,,0.632886612,304,0.832876712,3dryBEB,13,3
N Peterson Marsh,3,3,5&6,dry,1044,BEB,8,9,3.021,0.921439936,11/27/10,2.784,,5,10/2/12,1.287,,0.462339278,675,1.849315068,3dryBEB,13,3
N Peterson Marsh,3,3,5&6,dry,1045,BEB,8,9,3.034,0.921439936,11/27/10,2.796,,6,9/20/13,1.283,,0.458927464,1028,2.816438356,3dryBEB,13,3
Cattle Pond,2,2,3&4,dry,1019,BEB,4,10,3.08,0.921439936,11/27/10,2.838,,1,4/29/11,2.1457,,0.756051281,153,0.419178082,2dryBEB,14,3
Cattle Pond,2,2,3&4,dry,1024,BEB,4,10,3.069,0.921439936,11/27/10,2.828,,2,5/26/11,1.8879,,0.667598061,180,0.493150685,2dryBEB,14,3
Cattle Pond,2,2,3&4,dry,1023,BEB,4,10,3.024,0.921439936,11/27/10,2.786,,3,8/3/11,1.743,,0.625530614,249,0.682191781,2dryBEB,14,3
Cattle Pond,2,2,3&4,dry,1020,BEB,4,10,3.036,0.921439936,11/27/10,2.797,,4,9/27/11,1.774,,0.634139516,304,0.832876712,2dryBEB,14,3
Cattle Pond,2,2,3&4,dry,1021,BEB,4,10,3.053,0.921439936,11/27/10,2.813,,5,10/2/12,1.345,,0.478110684,675,1.849315068,2dryBEB,14,3
Cattle Pond,2,2,3&4,dry,1022,BEB,4,10,3.05,0.921439936,11/27/10,2.81,,6,9/20/13,1.403,,0.499218649,1028,2.816438356,2dryBEB,14,3
Lawrence Strip,4,5,9,dry,1006,BEB,1,9,3.039,0.921439936,11/27/10,2.8,,1,4/29/11,2.2883,,0.817175297,153,0.419178082,5dryBEB,15,3
Lawrence Strip,4,5,9,dry,1001,BEB,1,9,3.012,0.921439936,11/27/10,2.775,,2,5/26/11,2.166,,0.780434489,180,0.493150685,5dryBEB,15,3
Lawrence Strip,4,5,9,dry,1002,BEB,1,9,3.051,0.921439936,11/27/10,2.811,,3,8/1/11,1.809,,0.643471517,247,0.676712329,5dryBEB,15,3
Lawrence Strip,4,5,9,dry,1005,BEB,1,9,3.036,0.921439936,11/27/10,2.797,,4,9/27/11,1.72,,0.61483651,304,0.832876712,5dryBEB,15,3
Lawrence Strip,4,5,9,dry,1003,BEB,1,9,3.004,0.921439936,11/27/10,2.768,,5,10/1/12,1.433,,0.517701271,674,1.846575342,5dryBEB,15,3
Lawrence Strip,4,5,9,dry,1004,BEB,1,9,3.004,0.921439936,11/27/10,2.768,,6,9/20/13,1.323,,0.477961466,1028,2.816438356,5dryBEB,15,3
Lawrence Strip,4,6,11,dry,1096,BEB,16,3,3.007,0.921439936,11/27/10,2.771,,1,4/29/11,2.2806,,0.823092531,153,0.419178082,6dryBEB,16,3
Lawrence Strip,4,6,11,dry,1091,BEB,16,3,3.03,0.921439936,11/27/10,2.792,,2,5/26/11,2.3722,,0.849653091,180,0.493150685,6dryBEB,16,3
Lawrence Strip,4,6,11,dry,1092,BEB,16,3,3.004,0.921439936,11/27/10,2.768,,3,8/1/11,2.164,,0.781790335,247,0.676712329,6dryBEB,16,3
Lawrence Strip,4,6,11,dry,1093,BEB,16,3,3.014,0.921439936,11/27/10,2.777,,4,9/27/11,1.862,,0.670454635,304,0.832876712,6dryBEB,16,3
Lawrence Strip,4,6,11,dry,1095,BEB,16,3,3.046,0.921439936,11/27/10,2.807,,5,10/2/12,1.289,,0.459257214,675,1.849315068,6dryBEB,16,3
Lawrence Strip,4,6,11,dry,1094,BEB,16,3,3.014,0.921439936,11/27/10,2.777,,6,9/20/13,1.311,,0.472054794,1028,2.816438356,6dryBEB,16,3
Central Pond,5,7,13&14,dry,1073,BEB,13,2,3.036,0.921439936,11/27/10,2.797,,1,4/29/11,2.2358,,0.79921597,153,0.419178082,7dryBEB,17,3
Central Pond,5,7,13&14,dry,1078,BEB,13,2,3.008,0.921439936,11/27/10,2.772,,2,5/26/11,2.1675,,0.782013487,180,0.493150685,7dryBEB,17,3
Central Pond,5,7,13&14,dry,1074,BEB,13,2,3.023,0.921439936,11/27/10,2.786,,3,8/1/11,2.121,,0.761439654,247,0.676712329,7dryBEB,17,3
Central Pond,5,7,13&14,dry,1075,BEB,13,2,3.03,0.921439936,11/27/10,2.792,,4,9/27/11,1.918,,0.686971853,304,0.832876712,7dryBEB,17,3
Central Pond,5,7,13&14,dry,1076,BEB,13,2,3.025,0.921439936,11/27/10,2.787,,5,9/30/12,1.793,,0.643261974,673,1.843835616,7dryBEB,17,3
Central Pond,5,7,13&14,dry,1077,BEB,13,2,3.006,0.921439936,11/27/10,2.77,,6,9/20/13,1.49,,0.537935569,1028,2.816438356,7dryBEB,17,3
Mari Hill,8,10,19&20,wet,1031,BEB,6,10,3.017,0.921439936,11/30/10,2.78,,1,4/29/11,2.3346,,0.839788919,150,0.410958904,10wetBEB,18,4
Mari Hill,8,10,19&20,wet,1036,BEB,6,10,3.025,0.921439936,11/30/10,2.787,,2,5/26/11,2.1392,,0.767465709,177,0.484931507,10wetBEB,18,4
Mari Hill,8,10,19&20,wet,1035,BEB,6,10,3.004,0.921439936,11/30/10,2.768,,3,8/1/11,1.525,,0.550938198,244,0.668493151,10wetBEB,18,4
Mari Hill,8,10,19&20,wet,1032,BEB,6,10,3.035,0.921439936,11/30/10,2.797,,4,9/27/11,1.384,,0.49489192,301,0.824657534,10wetBEB,18,4
Mari Hill,8,10,19&20,wet,1034,BEB,6,10,3.001,0.921439936,11/30/10,2.765,,5,9/30/12,1.247,,0.450955229,670,1.835616438,10wetBEB,18,4
Mari Hill,8,10,19&20,wet,1033,BEB,6,10,3.054,0.921439936,11/30/10,2.814,,6,9/20/13,1.086,,0.385916868,1025,2.808219178,10wetBEB,18,4
S Peterson Marsh,1,1,1&2,wet,1049,BEB,9,6,3.054,0.921439936,11/27/10,2.814,,1,4/29/11,2.5948,this value doesn't seem right,0.922078351,153,0.419178082,1wetBEB,19,4
S Peterson Marsh,1,1,1&2,wet,1050,BEB,9,6,3.003,0.921439936,11/27/10,2.767,,2,5/26/11,1.8899,,0.682993329,180,0.493150685,1wetBEB,19,4
S Peterson Marsh,1,1,1&2,wet,1051,BEB,9,6,3.002,0.921439936,11/27/10,2.766,,3,8/3/11,1.303,,0.471049662,249,0.682191781,1wetBEB,19,4
S Peterson Marsh,1,1,1&2,wet,1052,BEB,9,6,3.021,0.921439936,11/27/10,2.784,,4,9/27/11,1.22,,0.438270333,304,0.832876712,1wetBEB,19,4
S Peterson Marsh,1,1,1&2,wet,1053,BEB,9,6,3.003,0.921439936,11/27/10,2.767,,5,10/2/12,1.611,had to remove lots of sand,0.582201308,675,1.849315068,1wetBEB,19,4
S Peterson Marsh,1,1,1&2,wet,1054,BEB,9,6,3.065,0.921439936,11/27/10,2.824,,6,9/20/13,0.965,,0.34168806,1028,2.816438356,1wetBEB,19,4
Cattle Pond,2,2,3&4,wet,1018,BEB,3,3,3.022,0.921439936,11/27/10,2.785,,1,4/29/11,2.2761,,0.817390993,153,0.419178082,2wetBEB,20,4
Cattle Pond,2,2,3&4,wet,1013,BEB,3,3,3.054,0.921439936,11/27/10,2.814,,2,5/26/11,2.1437,,0.761777154,180,0.493150685,2wetBEB,20,4
Cattle Pond,2,2,3&4,wet,1014,BEB,3,3,3.048,0.921439936,11/27/10,2.809,,3,8/3/11,1.704,,0.606719001,249,0.682191781,2wetBEB,20,4
Cattle Pond,2,2,3&4,wet,1017,BEB,3,3,3.037,0.921439936,11/27/10,2.798,,4,9/27/11,1.331,,0.475626707,304,0.832876712,2wetBEB,20,4
